book_id,mood,writing_style,difficulty_level,reading_level,target_audience,learning_outcomes,skills_covered,recommendation_keywords,fantasy_elements,scifi_elements,themes,keywords,tags,subjects
23,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,Psychology,behavior; cognitive bias; decision making; decision-making; economics; fast; nonfiction; psychology; slow; thinking,,,behavior; cognitive bias; decision making; decision-making; economics; psychology,behavior; cognitive bias; decision making; decision-making; economics; fast; nonfiction; psychology; slow; thinking,Educational; Inspirational; behavior; cognitive bias; decision making; decision-making; economics; psychology,behavior; cognitive bias; decision making; decision-making; economics; psychology
24,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,Productivity,atomic; behavior change; goals; habits; nonfiction; productivity; self-help; self-improvement,,,behavior change; goals; habits; productivity; self-improvement,atomic; behavior change; goals; habits; nonfiction; productivity; self-help; self-improvement,Educational; Inspirational; behavior change; goals; habits; productivity; self-improvement,behavior change; goals; habits; productivity; self-improvement
25,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,,biography; diary; family; girl; hiding; history; holocaust; hope; identity; memoir; world war ii; young,,,Holocaust; World War II; diary; family; hiding; hope,biography; diary; family; girl; hiding; history; holocaust; hope; identity; memoir; world war ii; young,Emotional; Holocaust; Inspirational; World War II; diary; family; hiding; hope; identity,Holocaust; World War II; diary; family; hiding; hope; identity
26,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,History,agriculture; anthropology; civilization; colonization; geography; germs; guns; history; inequality; nonfiction; steel,,,agriculture; anthropology; civilization; colonization; geography; history,agriculture; anthropology; civilization; colonization; geography; germs; guns; history; inequality; nonfiction; steel,Educational; Inspirational; agriculture; anthropology; civilization; colonization; geography; history; inequality,agriculture; anthropology; civilization; colonization; geography; history; inequality
27,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,Entrepreneurship; Management; Technology,apple; biography; business; entrepreneurship; innovation; jobs; leadership; steve; technology,,,Apple; entrepreneurship; innovation; leadership; technology,apple; biography; business; entrepreneurship; innovation; jobs; leadership; steve; technology,Apple; Emotional; Inspirational; entrepreneurship; innovation; leadership; technology,Apple; entrepreneurship; innovation; leadership; technology
28,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,,biography; history; prisoner of war; resilience; sports; survival; unbroken; war; world war ii,,,World War II; prisoner of war; resilience; sports; survival,biography; history; prisoner of war; resilience; sports; survival; unbroken; war; world war ii,Emotional; Inspirational; World War II; prisoner of war; resilience; sports; survival,World War II; prisoner of war; resilience; sports; survival
29,Inspirational; Educational,Conversational; Simple,Beginner,Adult,Professionals; General Readers,Personal Growth; Career,Communication; Management,communication; friends; influence; leadership; people; persuasion; relationships; self-help,,,communication; influence; leadership; persuasion; relationships,communication; friends; influence; leadership; people; persuasion; relationships; self-help,Educational; Inspirational; communication; influence; leadership; persuasion; relationships,communication; influence; leadership; persuasion; relationships
30,Educational; Inspirational,Conversational; Technical,Intermediate,Professional,Professionals; Students,Leadership; Career; Problem Solving,Finance,assets; business; finance; financial literacy; investing; money mindset; personal; personal finance; poor; rich,,,assets; financial literacy; investing; money mindset; personal finance,assets; business; finance; financial literacy; investing; money mindset; personal; personal finance; poor; rich,Educational; Inspirational; assets; financial literacy; investing; money mindset; personal finance,assets; financial literacy; investing; money mindset; personal finance
31,Educational; Inspirational,Conversational; Technical,Intermediate,Professional,Professionals; Students,Leadership; Career; Problem Solving,Entrepreneurship,business; entrepreneurship; innovation; lean; management; product development; startup; startups,,,entrepreneurship; innovation; management; product development; startups,business; entrepreneurship; innovation; lean; management; product development; startup; startups,Educational; Inspirational; entrepreneurship; innovation; management; product development; startups,entrepreneurship; innovation; management; product development; startups
32,Inspirational; Educational,Conversational; Simple,Beginner,Adult,Professionals; General Readers,Personal Growth; Career,Psychology,achievement; grit; motivation; perseverance; psychology; self-help; success,,,achievement; motivation; perseverance; psychology; success,achievement; grit; motivation; perseverance; psychology; self-help; success,Educational; Inspirational; achievement; motivation; perseverance; psychology; success,achievement; motivation; perseverance; psychology; success
33,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; coming of age; contemporary; fault; friendship; illness; love; mortality; romance; stars; young,,,coming of age; friendship; illness; love; mortality,adult; coming of age; contemporary; fault; friendship; illness; love; mortality; romance; stars; young,Emotional; Heartwarming; coming of age; friendship; illness; love; mortality,coming of age; friendship; illness; love; mortality
34,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; dystopia; dystopian; games; hunger; inequality; media; rebellion; survival; young,,,dystopia; inequality; media; rebellion; survival,adult; dystopia; dystopian; games; hunger; inequality; media; rebellion; survival; young,Emotional; Heartwarming; dystopia; inequality; media; rebellion; survival,dystopia; inequality; media; rebellion; survival
35,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; fantasy; friendship; good vs evil; harry; identity; magic; potter; school; sorcerer; stone; young,,,friendship; good vs evil; identity; magic; school,adult; fantasy; friendship; good vs evil; harry; identity; magic; potter; school; sorcerer; stone; young,Emotional; Heartwarming; friendship; good vs evil; identity; magic; school,friendship; good vs evil; identity; magic; school
36,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; fantasy; friendship; gods; identity; jackson; lightning; mythological; mythology; percy; quest; thief; young,,,friendship; gods; identity; mythology; quest,adult; fantasy; friendship; gods; identity; jackson; lightning; mythological; mythology; percy; quest; thief; young,Emotional; Heartwarming; friendship; gods; identity; mythology; quest,friendship; gods; identity; mythology; quest
37,Educational,Narrative,Intermediate,Adult,General Readers,,,animal; animals; charlotte; children's; farm life; fiction; friendship; loyalty; sacrifice,,,animals; farm life; friendship; loyalty; sacrifice,animal; animals; charlotte; children's; farm life; fiction; friendship; loyalty; sacrifice,Educational; animals; farm life; friendship; loyalty; sacrifice,animals; farm life; friendship; loyalty; sacrifice
38,Educational,Narrative,Intermediate,Adult,General Readers,,,adventure; book; children's; emotions; family; imagination; monsters; picture; things; where; wild,,,adventure; emotions; family; imagination; monsters,adventure; book; children's; emotions; family; imagination; monsters; picture; things; where; wild,Educational; adventure; emotions; family; imagination; monsters,adventure; emotions; family; imagination; monsters
39,Educational,Narrative,Intermediate,Adult,General Readers,,,children's; empowerment; family; fantasy; intelligence; justice; matilda; school,,,empowerment; family; intelligence; justice; school,children's; empowerment; family; fantasy; intelligence; justice; matilda; school,Educational; empowerment; family; intelligence; justice; school,empowerment; family; intelligence; justice; school
40,Educational,Narrative,Intermediate,Adult,General Readers,,,book; caterpillar; children's; counting; food; growth; hungry; nature; picture; transformation; very,,,counting; food; growth; nature; transformation,book; caterpillar; children's; counting; food; growth; hungry; nature; picture; transformation; very,Educational; counting; food; growth; nature; transformation,counting; food; growth; nature; transformation
41,Dark; Suspenseful,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking,,childhood trauma; fear; friendship; horror; small town; supernatural,,,childhood trauma; fear; friendship; small town; supernatural,childhood trauma; fear; friendship; horror; small town; supernatural,Dark; Suspenseful; childhood trauma; fear; friendship; small town; supernatural,childhood trauma; fear; friendship; small town; supernatural
42,Dark; Suspenseful,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking,,dracula; good vs evil; gothic; horror; superstition; vampires; victorian era,,,Victorian era; good vs evil; gothic; superstition; vampires,dracula; good vs evil; gothic; horror; superstition; vampires; victorian era,Dark; Suspenseful; Victorian era; good vs evil; gothic; superstition; vampires,Victorian era; good vs evil; gothic; superstition; vampires
43,Dark; Suspenseful,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking,,addiction; family; horror; isolation; madness; psychological; shining; supernatural,,,addiction; family; isolation; madness; supernatural,addiction; family; horror; isolation; madness; psychological; shining; supernatural,Dark; Suspenseful; addiction; family; isolation; madness; supernatural,addiction; family; isolation; madness; supernatural
44,Dark; Suspenseful,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking,,ambition; creation; fiction; frankenstein; gothic; horror; isolation; morality; science,,,ambition; creation; isolation; morality; science,ambition; creation; fiction; frankenstein; gothic; horror; isolation; morality; science,Dark; Suspenseful; ambition; creation; isolation; morality; science,ambition; creation; isolation; morality; science
45,Thought-provoking; Dark,Poetic; Slow-paced,Advanced,Adult,Students; Researchers; General Readers,Critical Thinking; History; Communication,,class; classics; fiction; manners; marriage; prejudice; pride; romantic; wit,,,class; manners; marriage; pride; wit,class; classics; fiction; manners; marriage; prejudice; pride; romantic; wit,Dark; Thought-provoking; class; manners; marriage; pride; wit,class; manners; marriage; pride; wit
46,Thought-provoking; Dark,Poetic; Slow-paced,Advanced,Adult,Students; Researchers; General Readers,Critical Thinking; History; Communication,,classics; dystopian; freedom; propaganda; surveillance; totalitarianism; truth,,,freedom; propaganda; surveillance; totalitarianism; truth,classics; dystopian; freedom; propaganda; surveillance; totalitarianism; truth,Dark; Thought-provoking; freedom; propaganda; surveillance; totalitarianism; truth,freedom; propaganda; surveillance; totalitarianism; truth
47,Thought-provoking; Dark,Poetic; Slow-paced,Advanced,Adult,Students; Researchers; General Readers,Critical Thinking; History; Communication,History,aristocracy; classics; family; fate; fiction; historical; history; peace; war,,,aristocracy; family; fate; history; war,aristocracy; classics; family; fate; fiction; historical; history; peace; war,Dark; Thought-provoking; aristocracy; family; fate; history; war,aristocracy; family; fate; history; war
48,Thought-provoking; Dark,Poetic; Slow-paced,Advanced,Adult,Students; Researchers; General Readers,Critical Thinking; History; Communication,,america; classics; democracy; free verse; grass; individuality; leaves; nature; poetry,,,America; democracy; free verse; individuality; nature,america; classics; democracy; free verse; grass; individuality; leaves; nature; poetry,America; Dark; Thought-provoking; democracy; free verse; individuality; nature,America; democracy; free verse; individuality; nature
49,Thought-provoking; Dark,Poetic; Slow-paced,Advanced,Adult,Students; Researchers; General Readers,Critical Thinking; History; Communication,,classics; cunning; epic; fate; heroism; homecoming; mythology; odyssey; poetry,,,cunning; fate; heroism; homecoming; mythology,classics; cunning; epic; fate; heroism; homecoming; mythology; odyssey; poetry,Dark; Thought-provoking; cunning; fate; heroism; homecoming; mythology,cunning; fate; heroism; homecoming; mythology
50,Thought-provoking; Dark,Poetic; Slow-paced,Advanced,Adult,Students; Researchers; General Readers,Critical Thinking; History; Communication,,classics; crime; fiction; guilt; morality; poverty; psychological; punishment; redemption,,,crime; guilt; morality; poverty; redemption,classics; crime; fiction; guilt; morality; poverty; psychological; punishment; redemption,Dark; Thought-provoking; crime; guilt; morality; poverty; redemption,crime; guilt; morality; poverty; redemption
51,Thought-provoking; Dark,Poetic; Slow-paced,Advanced,Adult,Students; Researchers; General Readers,Critical Thinking; History; Communication,,classics; family; hundred; latin america; magical; magical realism; realism; solitude; time; years,,,Latin America; family; magical realism; solitude; time,classics; family; hundred; latin america; magical; magical realism; realism; solitude; time; years,Dark; Latin America; Thought-provoking; family; magical realism; solitude; time,Latin America; family; magical realism; solitude; time
52,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,,biography; educated; education; family; identity; memoir; self-transformation; survivalism,,,education; family; identity; self-transformation; survivalism,biography; educated; education; family; identity; memoir; self-transformation; survivalism,Emotional; Inspirational; education; family; identity; self-transformation; survivalism,education; family; identity; self-transformation; survivalism
53,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,,apartheid; biography; born; crime; family; identity; memoir; race; south africa,,,South Africa; apartheid; family; identity; race,apartheid; biography; born; crime; family; identity; memoir; race; south africa,Emotional; Inspirational; South Africa; apartheid; family; identity; race,South Africa; apartheid; family; identity; race
54,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,Management,activism; apartheid; autobiography; biography; freedom; leadership; long; south africa; walk,,,South Africa; activism; apartheid; freedom; leadership,activism; apartheid; autobiography; biography; freedom; leadership; long; south africa; walk,Emotional; Inspirational; South Africa; activism; apartheid; freedom; leadership,South Africa; activism; apartheid; freedom; leadership
55,Educational,Narrative,Intermediate,Adult,General Readers,,,astronomy; cosmos; evolution; popular; science; space exploration; universe,,,astronomy; evolution; science; space exploration; universe,astronomy; cosmos; evolution; popular; science; space exploration; universe,Educational; astronomy; evolution; science; space exploration; universe,astronomy; evolution; science; space exploration; universe
56,Educational,Narrative,Intermediate,Adult,General Readers,,,behavior; biology; evolution; evolutionary; gene; genetics; natural selection; science; selfish,,,behavior; biology; evolution; genetics; natural selection,behavior; biology; evolution; evolutionary; gene; genetics; natural selection; science; selfish,Educational; behavior; biology; evolution; genetics; natural selection,behavior; biology; evolution; genetics; natural selection
57,Educational,Narrative,Intermediate,Adult,General Readers,,,activism; conservation; ecology; environment; environmental; pesticides; science; silent; spring,,,activism; conservation; ecology; environment; pesticides,activism; conservation; ecology; environment; environmental; pesticides; science; silent; spring,Educational; activism; conservation; ecology; environment; pesticides,activism; conservation; ecology; environment; pesticides
58,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,Psychology,holocaust; meaning; nonfiction; philosophy; psychology; resilience; search,,,Holocaust; meaning; philosophy; psychology; resilience,holocaust; meaning; nonfiction; philosophy; psychology; resilience; search,Educational; Holocaust; Inspirational; meaning; philosophy; psychology; resilience,Holocaust; meaning; philosophy; psychology; resilience
59,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,,giving; happiness; mindset; nonfiction; resilience; self-help; self-improvement; subtle; values,,,happiness; mindset; resilience; self-improvement; values,giving; happiness; mindset; nonfiction; resilience; self-help; self-improvement; subtle; values,Educational; Inspirational; happiness; mindset; resilience; self-improvement; values,happiness; mindset; resilience; self-improvement; values
60,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,Productivity,attention; career; deep; focus; nonfiction; productivity; work,,,attention; career; focus; productivity; work,attention; career; deep; focus; nonfiction; productivity; work,Educational; Inspirational; attention; career; focus; productivity; work,attention; career; focus; productivity; work
61,Educational,Narrative,Intermediate,Adult,General Readers,,,best practices; clean; code; code quality; engineering; programming; refactoring; software; software engineering; technology,,,best practices; code quality; programming; refactoring; software engineering,best practices; clean; code; code quality; engineering; programming; refactoring; software; software engineering; technology,Educational; best practices; code quality; programming; refactoring; software engineering,best practices; code quality; programming; refactoring; software engineering
62,Educational,Narrative,Intermediate,Adult,General Readers,,,algorithms; complexity; computer; computer science; data structures; introduction; mathematics; science; technology,,,algorithms; complexity; computer science; data structures; mathematics,algorithms; complexity; computer; computer science; data structures; introduction; mathematics; science; technology,Educational; algorithms; complexity; computer science; data structures; mathematics,algorithms; complexity; computer science; data structures; mathematics
63,Educational,Narrative,Intermediate,Adult,General Readers,,,applications; data; data engineering; databases; designing; distributed systems; engineering; intensive; scalability; software; software architecture; technology,,,data engineering; databases; distributed systems; scalability; software architecture,applications; data; data engineering; databases; designing; distributed systems; engineering; intensive; scalability; software; software architecture; technology,Educational; data engineering; databases; distributed systems; scalability; software architecture,data engineering; databases; distributed systems; scalability; software architecture
64,Romantic; Emotional,Conversational; Narrative,Beginner,Adult,General Readers,Emotional Intelligence; Communication,,class; contemporary; devotion; love; memory; notebook; romance; separation,,,class; devotion; love; memory; separation,class; contemporary; devotion; love; memory; notebook; romance; separation,Emotional; Romantic; class; devotion; love; memory; separation,class; devotion; love; memory; separation
65,Romantic; Emotional,Conversational; Narrative,Beginner,Adult,General Readers,Emotional Intelligence; Communication,,beach; contemporary; grief; read; rivalry; romance; self-discovery; writing,,,grief; rivalry; romance; self-discovery; writing,beach; contemporary; grief; read; rivalry; romance; self-discovery; writing,Emotional; Romantic; grief; rivalry; romance; self-discovery; writing,grief; rivalry; romance; self-discovery; writing
66,Educational,Narrative,Intermediate,Adult,General Readers,,,corruption; crime; dragon; family secrets; girl; hacking; journalism; murder; mystery; tattoo; thriller; with,,,corruption; family secrets; hacking; journalism; murder,corruption; crime; dragon; family secrets; girl; hacking; journalism; murder; mystery; tattoo; thriller; with,Educational; corruption; family secrets; hacking; journalism; murder,corruption; family secrets; hacking; journalism; murder
67,Educational,Narrative,Intermediate,Adult,General Readers,,Psychology,crime; fbi; lambs; manipulation; mystery; psychological; psychology; serial killer; silence; thriller,,,FBI; crime; manipulation; psychology; serial killer,crime; fbi; lambs; manipulation; mystery; psychological; psychology; serial killer; silence; thriller,Educational; FBI; crime; manipulation; psychology; serial killer,FBI; crime; manipulation; psychology; serial killer
68,Mysterious; Inspirational,Narrative; Descriptive,Intermediate,Young Adult,General Readers,Imagination; Personal Growth,,empire; epic; fantasy; final; heist; magic; mistborn; prophecy; rebellion,magic,,empire; heist; magic; prophecy; rebellion,empire; epic; fantasy; final; heist; magic; mistborn; prophecy; rebellion,Inspirational; Mysterious; empire; heist; magic; prophecy; rebellion,empire; heist; magic; prophecy; rebellion
69,Suspenseful; Thrilling,Narrative; Fast-paced,Intermediate,Adult,General Readers; Engineers,Problem Solving; Critical Thinking,,alien culture; darkness; diplomacy; fiction; gender; hand; identity; left; politics; science; social,,,alien culture; diplomacy; gender; identity; politics,alien culture; darkness; diplomacy; fiction; gender; hand; identity; left; politics; science; social,Suspenseful; Thrilling; alien culture; diplomacy; gender; identity; politics,alien culture; diplomacy; gender; identity; politics
70,Suspenseful; Thrilling,Narrative; Fast-paced,Intermediate,Adult,General Readers; Engineers,Problem Solving; Critical Thinking,,civilization; empire; fiction; foundation; opera; politics; prediction; science; space,,,civilization; empire; politics; prediction; science,civilization; empire; fiction; foundation; opera; politics; prediction; science; space,Suspenseful; Thrilling; civilization; empire; politics; prediction; science,civilization; empire; politics; prediction; science
71,Dark; Suspenseful,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking,,gothic; haunted house; haunting; hill; horror; house; isolation; psychological horror; sanity; supernatural,,,haunted house; isolation; psychological horror; sanity; supernatural,gothic; haunted house; haunting; hill; horror; house; isolation; psychological horror; sanity; supernatural,Dark; Suspenseful; haunted house; isolation; psychological horror; sanity; supernatural,haunted house; isolation; psychological horror; sanity; supernatural
72,Dark; Suspenseful,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking,,baby; cults; horror; marriage; paranoia; pregnancy; psychological; rosemary; the occult,,,cults; marriage; paranoia; pregnancy; the occult,baby; cults; horror; marriage; paranoia; pregnancy; psychological; rosemary; the occult,Dark; Suspenseful; cults; marriage; paranoia; pregnancy; the occult,cults; marriage; paranoia; pregnancy; the occult
