book_id,short_ai_summary,long_ai_summary,recommendation_reason,search_text
11,"The Name of the Wind by Patrick Rothfuss — Epic Fantasy exploring coming of age, legend.","The Name of the Wind, written by Patrick Rothfuss and first published in 2007, is a fantasy work (Epic Fantasy) set against a backdrop of Fictional World during Fantasy World. A legendary figure recounts his own life story, from a childhood in a traveling troupe to his years of poverty and study at a university of magic. Readers drawn to coming of age, legend, magic, music, university will find this book especially rewarding, and it is commonly recommended for General Readers looking for a mysterious/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy mysterious fantasy with a narrative style, especially fans of themes like coming of age, legend.","The Name of the Wind | Patrick Rothfuss | Fantasy | Epic Fantasy | A legendary figure recounts his own life story, from a childhood in a traveling troupe to his years of poverty and study at a university of magic. | coming of age, epic, fantasy, legend, magic, music, name, university, wind | Inspirational, Mysterious, coming of age, legend, magic, music, university | coming of age, legend, magic, music, university"
12,"Circe by Madeline Miller — Mythological Fiction exploring gods, independence.","Circe, written by Madeline Miller and first published in 2018, is a fantasy work (Mythological Fiction) set against a backdrop of Greece (Mythical) during Ancient. A minor goddess exiled for her unruly power comes into her own on a lonely island, crossing paths with figures from Greek myth and forging her own fate. Readers drawn to gods, independence, mythology, transformation, witchcraft will find this book especially rewarding, and it is commonly recommended for General Readers looking for a mysterious/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy mysterious fantasy with a narrative style, especially fans of themes like gods, independence.","Circe | Madeline Miller | Fantasy | Mythological Fiction | A minor goddess exiled for her unruly power comes into her own on a lonely island, crossing paths with figures from Greek myth and forging her own fate. | circe, fantasy, fiction, gods, independence, mythological, mythology, transformation, witchcraft | Inspirational, Mysterious, gods, independence, mythology, transformation, witchcraft | gods, independence, mythology, transformation, witchcraft"
13,"Gone Girl by Gillian Flynn — Psychological Thriller exploring crime, deception.","Gone Girl, written by Gillian Flynn and first published in 2012, is a mystery/thriller work (Psychological Thriller) set against a backdrop of USA during Present Day. When a woman vanishes on her wedding anniversary, suspicion falls on her husband, and the unraveling truth reveals a marriage built on deception. Readers drawn to crime, deception, marriage, media, psychology will find this book especially rewarding, and it is commonly recommended for General Readers looking for a suspenseful/dark reading experience at a intermediate difficulty level.","Recommended for readers who enjoy suspenseful mystery/thriller with a fast-paced style, especially fans of themes like crime, deception.","Gone Girl | Gillian Flynn | Mystery/Thriller | Psychological Thriller | When a woman vanishes on her wedding anniversary, suspicion falls on her husband, and the unraveling truth reveals a marriage built on deception. | crime, deception, girl, gone, marriage, media, mystery/thriller, psychological, psychology, thriller | Dark, Suspenseful, crime, deception, marriage, media, psychology | crime, deception, marriage, media, psychology"
14,"The Silent Patient by Alex Michaelides — Psychological Thriller exploring murder, obsession.","The Silent Patient, written by Alex Michaelides and first published in 2019, is a mystery/thriller work (Psychological Thriller) set against a backdrop of UK during Present Day. A woman stops speaking after allegedly murdering her husband, and the psychotherapist determined to treat her uncovers a shocking hidden motive. Readers drawn to murder, obsession, psychology, silence, therapy will find this book especially rewarding, and it is commonly recommended for General Readers looking for a suspenseful/dark reading experience at a intermediate difficulty level.","Recommended for readers who enjoy suspenseful mystery/thriller with a fast-paced style, especially fans of themes like murder, obsession.","The Silent Patient | Alex Michaelides | Mystery/Thriller | Psychological Thriller | A woman stops speaking after allegedly murdering her husband, and the psychotherapist determined to treat her uncovers a shocking hidden motive. | murder, mystery/thriller, obsession, patient, psychological, psychology, silence, silent, therapy, thriller | Dark, Suspenseful, murder, obsession, psychology, silence, therapy | murder, obsession, psychology, silence, therapy"
15,"The Da Vinci Code by Dan Brown — Conspiracy Thriller exploring art, codes.","The Da Vinci Code, written by Dan Brown and first published in 2003, is a mystery/thriller work (Conspiracy Thriller) set against a backdrop of France/UK during Present Day. A symbologist races across Europe to decode clues hidden in famous artworks, unraveling a centuries-old secret tied to a powerful religious mystery. Readers drawn to art, codes, conspiracy, history, religion will find this book especially rewarding, and it is commonly recommended for General Readers looking for a suspenseful/dark reading experience at a intermediate difficulty level.","Recommended for readers who enjoy suspenseful mystery/thriller with a fast-paced style, especially fans of themes like art, codes.","The Da Vinci Code | Dan Brown | Mystery/Thriller | Conspiracy Thriller | A symbologist races across Europe to decode clues hidden in famous artworks, unraveling a centuries-old secret tied to a powerful religious mystery. | art, code, codes, conspiracy, history, mystery/thriller, religion, thriller, vinci | Dark, Suspenseful, art, codes, conspiracy, history, religion | art, codes, conspiracy, history, religion"
16,"In the Woods by Tana French — Detective Fiction exploring childhood trauma, detective.","In the Woods, written by Tana French and first published in 2007, is a mystery/thriller work (Detective Fiction) set against a backdrop of Ireland during Present Day. A detective investigating a child's murder in his hometown must confront the unsolved disappearance of his own childhood friends decades earlier. Readers drawn to childhood trauma, detective, memory, murder investigation, small town will find this book especially rewarding, and it is commonly recommended for General Readers looking for a suspenseful/dark reading experience at a intermediate difficulty level.","Recommended for readers who enjoy suspenseful mystery/thriller with a fast-paced style, especially fans of themes like childhood trauma, detective.","In the Woods | Tana French | Mystery/Thriller | Detective Fiction | A detective investigating a child's murder in his hometown must confront the unsolved disappearance of his own childhood friends decades earlier. | childhood trauma, detective, fiction, memory, murder investigation, mystery/thriller, small town, woods | Dark, Suspenseful, childhood trauma, detective, memory, murder investigation, small town | childhood trauma, detective, memory, murder investigation, small town"
17,"Outlander by Diana Gabaldon — Time-Travel Romance exploring Scotland, history.","Outlander, written by Diana Gabaldon and first published in 1991, is a romance work (Time-Travel Romance) set against a backdrop of Scotland during 1940s/1740s. A World War II nurse is mysteriously transported to 18th-century Scotland, where she is torn between two centuries and two very different loves. Readers drawn to Scotland, history, love triangle, time travel, war will find this book especially rewarding, and it is commonly recommended for General Readers looking for a romantic/emotional reading experience at a beginner difficulty level.","Recommended for readers who enjoy romantic romance with a conversational style, especially fans of themes like Scotland, history.","Outlander | Diana Gabaldon | Romance | Time-Travel Romance | A World War II nurse is mysteriously transported to 18th-century Scotland, where she is torn between two centuries and two very different loves. | history, love triangle, outlander, romance, scotland, time travel, time-travel, war | Emotional, Romantic, Scotland, history, love triangle, time travel, war | Scotland, history, love triangle, time travel, war"
18,"Me Before You by Jojo Moyes — Contemporary Romance exploring caregiving, choice.","Me Before You, written by Jojo Moyes and first published in 2012, is a romance work (Contemporary Romance) set against a backdrop of UK during Present Day. A young woman hired to care for a paralyzed former businessman forms an unexpected bond with him that challenges both their views on how to live. Readers drawn to caregiving, choice, disability, grief, love will find this book especially rewarding, and it is commonly recommended for General Readers looking for a romantic/emotional reading experience at a beginner difficulty level.","Recommended for readers who enjoy romantic romance with a conversational style, especially fans of themes like caregiving, choice.","Me Before You | Jojo Moyes | Romance | Contemporary Romance | A young woman hired to care for a paralyzed former businessman forms an unexpected bond with him that challenges both their views on how to live. | before, caregiving, choice, contemporary, disability, grief, love, romance | Emotional, Romantic, caregiving, choice, disability, grief, love | caregiving, choice, disability, grief, love"
19,"The Hating Game by Sally Thorne — Romantic Comedy exploring banter, enemies to lovers.","The Hating Game, written by Sally Thorne and first published in 2016, is a romance work (Romantic Comedy) set against a backdrop of USA during Present Day. Two rival co-workers locked in a relentless office feud discover their antagonism is masking a very different kind of tension. Readers drawn to banter, enemies to lovers, humor, rivalry, workplace will find this book especially rewarding, and it is commonly recommended for General Readers looking for a romantic/emotional reading experience at a beginner difficulty level.","Recommended for readers who enjoy romantic romance with a conversational style, especially fans of themes like banter, enemies to lovers.","The Hating Game | Sally Thorne | Romance | Romantic Comedy | Two rival co-workers locked in a relentless office feud discover their antagonism is masking a very different kind of tension. | banter, comedy, enemies to lovers, game, hating, humor, rivalry, romance, romantic, workplace | Emotional, Romantic, banter, enemies to lovers, humor, rivalry, workplace | banter, enemies to lovers, humor, rivalry, workplace"
20,"It Ends with Us by Colleen Hoover — Contemporary Romance exploring courage, domestic abuse.","It Ends with Us, written by Colleen Hoover and first published in 2016, is a romance work (Contemporary Romance) set against a backdrop of USA during Present Day. A young woman's whirlwind romance forces her to confront patterns of abuse she witnessed in her own childhood and to make a difficult choice about her future. Readers drawn to courage, domestic abuse, family patterns, love, resilience will find this book especially rewarding, and it is commonly recommended for General Readers looking for a romantic/emotional reading experience at a beginner difficulty level.","Recommended for readers who enjoy romantic romance with a conversational style, especially fans of themes like courage, domestic abuse.","It Ends with Us | Colleen Hoover | Romance | Contemporary Romance | A young woman's whirlwind romance forces her to confront patterns of abuse she witnessed in her own childhood and to make a difficult choice about her future. | contemporary, courage, domestic abuse, ends, family patterns, love, resilience, romance, with | Emotional, Romantic, courage, domestic abuse, family patterns, love, resilience | courage, domestic abuse, family patterns, love, resilience"
21,"Sapiens: A Brief History of Humankind by Yuval Noah Harari — Popular Science/History exploring anthropology, civilization.","Sapiens: A Brief History of Humankind, written by Yuval Noah Harari and first published in 2014, is a nonfiction work (Popular Science/History) set against a backdrop of Global during Non-fiction/Timeless. A sweeping account of how Homo sapiens came to dominate the planet, tracing the cognitive, agricultural, and scientific revolutions that shaped civilization. Readers drawn to anthropology, civilization, history, human evolution, society will find this book especially rewarding, and it is commonly recommended for Students, Professionals, Researchers looking for a educational/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy educational nonfiction with a academic style, especially fans of themes like anthropology, civilization.","Sapiens: A Brief History of Humankind | Yuval Noah Harari | Nonfiction | Popular Science/History | A sweeping account of how Homo sapiens came to dominate the planet, tracing the cognitive, agricultural, and scientific revolutions that shaped civilization. | anthropology, brief, civilization, history, human evolution, humankind, nonfiction, popular, sapiens, science, society | Educational, Inspirational, anthropology, civilization, history, human evolution, society | anthropology, civilization, history, human evolution, society"
22,"A Brief History of Time by Stephen Hawking — Popular Science exploring black holes, cosmology.","A Brief History of Time, written by Stephen Hawking and first published in 1988, is a nonfiction work (Popular Science) set against a backdrop of Global during Non-fiction/Timeless. A physicist explains the origins of the universe, black holes, and the nature of time and space in terms accessible to general readers. Readers drawn to black holes, cosmology, physics, time, universe will find this book especially rewarding, and it is commonly recommended for Students, Professionals, Researchers looking for a educational/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy educational nonfiction with a academic style, especially fans of themes like black holes, cosmology.","A Brief History of Time | Stephen Hawking | Nonfiction | Popular Science | A physicist explains the origins of the universe, black holes, and the nature of time and space in terms accessible to general readers. | black holes, brief, cosmology, history, nonfiction, physics, popular, science, time, universe | Educational, Inspirational, black holes, cosmology, physics, time, universe | black holes, cosmology, physics, time, universe"
23,"Thinking, Fast and Slow by Daniel Kahneman — Psychology exploring behavior, cognitive bias.","Thinking, Fast and Slow, written by Daniel Kahneman and first published in 2011, is a nonfiction work (Psychology) set against a backdrop of Global during Non-fiction/Timeless. A Nobel laureate explains the two systems that drive human thought — fast, intuitive judgment and slow, deliberate reasoning — and where each fails us. Readers drawn to behavior, cognitive bias, decision making, decision-making, economics will find this book especially rewarding, and it is commonly recommended for Students, Professionals, Researchers looking for a educational/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy educational nonfiction with a academic style, especially fans of themes like behavior, cognitive bias.","Thinking, Fast and Slow | Daniel Kahneman | Nonfiction | Psychology | A Nobel laureate explains the two systems that drive human thought — fast, intuitive judgment and slow, deliberate reasoning — and where each fails us. | behavior, cognitive bias, decision making, decision-making, economics, fast, nonfiction, psychology, slow, thinking | Educational, Inspirational, behavior, cognitive bias, decision making, decision-making, economics, psychology | behavior, cognitive bias, decision making, decision-making, economics, psychology"
24,"Atomic Habits by James Clear — Self-Help/Productivity exploring behavior change, goals.","Atomic Habits, written by James Clear and first published in 2018, is a nonfiction work (Self-Help/Productivity) set against a backdrop of Global during Non-fiction/Timeless. A practical guide to building better habits through small, consistent changes, grounded in behavioral science and real-world examples. Readers drawn to behavior change, goals, habits, productivity, self-improvement will find this book especially rewarding, and it is commonly recommended for Students, Professionals, Researchers looking for a educational/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy educational nonfiction with a academic style, especially fans of themes like behavior change, goals.","Atomic Habits | James Clear | Nonfiction | Self-Help/Productivity | A practical guide to building better habits through small, consistent changes, grounded in behavioral science and real-world examples. | atomic, behavior change, goals, habits, nonfiction, productivity, self-help, self-improvement | Educational, Inspirational, behavior change, goals, habits, productivity, self-improvement | behavior change, goals, habits, productivity, self-improvement"
25,"The Diary of a Young Girl by Anne Frank — Memoir/History exploring Holocaust, World War II.","The Diary of a Young Girl, written by Anne Frank and first published in 1947, is a biography work (Memoir/History) set against a backdrop of Netherlands during 1940s. The personal diary of a Jewish teenager hiding with her family in Amsterdam during the Nazi occupation, offering a firsthand account of hope amid horror. Readers drawn to Holocaust, World War II, diary, family, hiding will find this book especially rewarding, and it is commonly recommended for General Readers, Students looking for a inspirational/emotional reading experience at a intermediate difficulty level.","Recommended for readers who enjoy inspirational biography with a narrative style, especially fans of themes like Holocaust, World War II.","The Diary of a Young Girl | Anne Frank | Biography | Memoir/History | The personal diary of a Jewish teenager hiding with her family in Amsterdam during the Nazi occupation, offering a firsthand account of hope amid horror. | biography, diary, family, girl, hiding, history, holocaust, hope, identity, memoir, world war ii, young | Emotional, Holocaust, Inspirational, World War II, diary, family, hiding, hope, identity | Holocaust, World War II, diary, family, hiding, hope, identity"
26,"Guns, Germs, and Steel by Jared Diamond — History/Anthropology exploring agriculture, anthropology.","Guns, Germs, and Steel, written by Jared Diamond and first published in 1997, is a nonfiction work (History/Anthropology) set against a backdrop of Global during Non-fiction/Timeless. An exploration of why some societies developed technology and empire faster than others, argued through geography, agriculture, and disease rather than race. Readers drawn to agriculture, anthropology, civilization, colonization, geography will find this book especially rewarding, and it is commonly recommended for Students, Professionals, Researchers looking for a educational/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy educational nonfiction with a academic style, especially fans of themes like agriculture, anthropology.","Guns, Germs, and Steel | Jared Diamond | Nonfiction | History/Anthropology | An exploration of why some societies developed technology and empire faster than others, argued through geography, agriculture, and disease rather than race. | agriculture, anthropology, civilization, colonization, geography, germs, guns, history, inequality, nonfiction, steel | Educational, Inspirational, agriculture, anthropology, civilization, colonization, geography, history, inequality | agriculture, anthropology, civilization, colonization, geography, history, inequality"
27,"Steve Jobs by Walter Isaacson — Business Biography exploring Apple, entrepreneurship.","Steve Jobs, written by Walter Isaacson and first published in 2011, is a biography work (Business Biography) set against a backdrop of USA during 1970s-2010s. An authorized biography of Apple's co-founder, drawing on extensive interviews to portray his creative vision, perfectionism, and complicated personal life. Readers drawn to Apple, entrepreneurship, innovation, leadership, technology will find this book especially rewarding, and it is commonly recommended for General Readers, Students looking for a inspirational/emotional reading experience at a intermediate difficulty level.","Recommended for readers who enjoy inspirational biography with a narrative style, especially fans of themes like Apple, entrepreneurship.","Steve Jobs | Walter Isaacson | Biography | Business Biography | An authorized biography of Apple's co-founder, drawing on extensive interviews to portray his creative vision, perfectionism, and complicated personal life. | apple, biography, business, entrepreneurship, innovation, jobs, leadership, steve, technology | Apple, Emotional, Inspirational, entrepreneurship, innovation, leadership, technology | Apple, entrepreneurship, innovation, leadership, technology"
28,"Unbroken by Laura Hillenbrand — War History exploring World War II, prisoner of war.","Unbroken, written by Laura Hillenbrand and first published in 2010, is a biography work (War History) set against a backdrop of Pacific Theater during 1940s. An Olympic runner turned WWII airman survives a plane crash, weeks adrift at sea, and years in brutal prisoner-of-war camps in a story of endurance. Readers drawn to World War II, prisoner of war, resilience, sports, survival will find this book especially rewarding, and it is commonly recommended for General Readers, Students looking for a inspirational/emotional reading experience at a intermediate difficulty level.","Recommended for readers who enjoy inspirational biography with a narrative style, especially fans of themes like World War II, prisoner of war.","Unbroken | Laura Hillenbrand | Biography | War History | An Olympic runner turned WWII airman survives a plane crash, weeks adrift at sea, and years in brutal prisoner-of-war camps in a story of endurance. | biography, history, prisoner of war, resilience, sports, survival, unbroken, war, world war ii | Emotional, Inspirational, World War II, prisoner of war, resilience, sports, survival | World War II, prisoner of war, resilience, sports, survival"
29,"How to Win Friends and Influence People by Dale Carnegie — Communication exploring communication, influence.","How to Win Friends and Influence People, written by Dale Carnegie and first published in 1936, is a self-help work (Communication) set against a backdrop of Global during Non-fiction/Timeless. A foundational guide to building rapport, handling people diplomatically, and communicating persuasively in personal and professional relationships. Readers drawn to communication, influence, leadership, persuasion, relationships will find this book especially rewarding, and it is commonly recommended for Professionals, General Readers looking for a inspirational/educational reading experience at a beginner difficulty level.","Recommended for readers who enjoy inspirational self-help with a conversational style, especially fans of themes like communication, influence.","How to Win Friends and Influence People | Dale Carnegie | Self-Help | Communication | A foundational guide to building rapport, handling people diplomatically, and communicating persuasively in personal and professional relationships. | communication, friends, influence, leadership, people, persuasion, relationships, self-help | Educational, Inspirational, communication, influence, leadership, persuasion, relationships | communication, influence, leadership, persuasion, relationships"
30,"Rich Dad Poor Dad by Robert Kiyosaki — Personal Finance exploring assets, financial literacy.","Rich Dad Poor Dad, written by Robert Kiyosaki and first published in 1997, is a business work (Personal Finance) set against a backdrop of Global during Non-fiction/Timeless. Contrasting lessons from two father figures illustrate different attitudes toward money, assets, and financial independence. Readers drawn to assets, financial literacy, investing, money mindset, personal finance will find this book especially rewarding, and it is commonly recommended for Professionals, Students looking for a educational/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy educational business with a conversational style, especially fans of themes like assets, financial literacy.","Rich Dad Poor Dad | Robert Kiyosaki | Business | Personal Finance | Contrasting lessons from two father figures illustrate different attitudes toward money, assets, and financial independence. | assets, business, finance, financial literacy, investing, money mindset, personal, personal finance, poor, rich | Educational, Inspirational, assets, financial literacy, investing, money mindset, personal finance | assets, financial literacy, investing, money mindset, personal finance"
31,"The Lean Startup by Eric Ries — Entrepreneurship exploring entrepreneurship, innovation.","The Lean Startup, written by Eric Ries and first published in 2011, is a business work (Entrepreneurship) set against a backdrop of Global during Non-fiction/Timeless. A methodology for building startups through rapid experimentation, validated learning, and iterative product development rather than big upfront planning. Readers drawn to entrepreneurship, innovation, management, product development, startups will find this book especially rewarding, and it is commonly recommended for Professionals, Students looking for a educational/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy educational business with a conversational style, especially fans of themes like entrepreneurship, innovation.","The Lean Startup | Eric Ries | Business | Entrepreneurship | A methodology for building startups through rapid experimentation, validated learning, and iterative product development rather than big upfront planning. | business, entrepreneurship, innovation, lean, management, product development, startup, startups | Educational, Inspirational, entrepreneurship, innovation, management, product development, startups | entrepreneurship, innovation, management, product development, startups"
